
GC CONSTRUCTION 	01489.HK	跌穿上市價	2022/10/10	5,000	3.85-8.20	0.5	0.500	6.6	10手	50.1%	0.480	+10.000%	-4.000%
健世科技－Ｂ	09877.HK	跌穿上市價	2022/10/10	200	5.84-395.06	27.8	27.800	0.5	2手	58.0%	2.900	+1.620%	-89.568%
中創新航	03931.HK	跌穿上市價	2022/10/06	100	195.31-681.45	38	38.000	認購不足	1手	100.0%	12.340	0.000%	-67.526%
艾美疫苗	06660.HK	跌穿上市價	2022/10/06	200	47.84-1,211.06	16.16	16.160	2.2	5手	60.0%	7.230	+3.090%	-55.260%
萬物雲	02602.HK	跌穿上市價	2022/09/29	100	171.93-659.58	49.35	49.350	認購不足	1手	100.0%	22.200	-6.790%	-55.015%
零跑汽車	09863.HK	跌穿上市價	2022/09/29	100	199.97-554.21	48	48.000	認購不足	1手	100.0%	30.050	-33.540%	-37.396%
數科集團	02350.HK	跌穿上市價	2022/09/26	5,000	1.72-5.81	0.85	0.850	150.3	120手	30.1%	0.480	-27.060%	-43.529%
騰訊音樂－ＳＷ	01698.HK		2022/09/21	100	N/A	N/A	N/A	N/A	N/A	N/A	43.300	N/A	N/A
INTERRA ACQ-Z 	07801.HK	跌穿上市價	2022/09/16	110,000	9.13-12.51	10	10.000	N/A	N/A	N/A	9.460	0.000%	-5.400%
叮噹健康	09886.HK	跌穿上市價	2022/09/14	500	5.50-270.98	12	12.000	6.2	10手	11.2%	0.590	0.000%	-95.083%
洪九果品	06689.HK	跌穿上市價	2022/09/05	100	7.48-195.36	40	40.000	認購不足	1手	100.0%	1.740	0.000%	-95.650%
百奧賽圖－Ｂ	02315.HK	跌穿上市價	2022/09/01	500	22.37-115.03	25.22	25.220	4.9	14手	50.0%	6.000	+3.100%	-76.209%
中國中免	01880.HK	跌穿上市價	2022/08/25	100	783.06-5,792.81	158	158.000	0.1	1手	100.0%	52.750	0.000%	-66.614%
蘇新服務	02152.HK	跌穿上市價	2022/08/24	500	4.35-8.75	8.6	8.600	認購不足	1手	100.0%	6.670	-0.120%	-22.442%
雙財莊	02321.HK	跌穿上市價	2022/08/19	5,000	2.98-24.03	0.56	0.560	18.2	1手	100.0%	0.375	+41.070%	-33.036%
匯德收購－Ｚ	07841.HK		2022/08/15	115,000	N/A	10	10.000	N/A	N/A	N/A	N/A	0.000%	N/A
檸萌影視	09857.HK	跌穿上市價	2022/08/10	100	10.81-123.82	27.75	27.750	認購不足	1手	100.0%	3.140	-2.700%	-88.685%
中國石墨	02237.HK		2022/07/18	10,000	5.04-29.44	0.325	0.325	25.5	15手	30.0%	0.360	+143.080%	+10.769%
博維智慧	01204.HK		2022/07/15	2,000	4.15-24.00	1.08	1.080	9.7	20手	30.0%	2.420	+12.960%	+124.074%
微創腦科學	02172.HK	跌穿上市價	2022/07/15	1,000	36.18-156.15	24.64	24.640	44.3	25手	4.9%	9.660	-0.160%	-60.795%
德銀天下	02418.HK	跌穿上市價	2022/07/15	1,500	12.07-50.31	1.8	1.800	認購不足	1手	100.0%	1.300	0.000%	-27.778%
湖州燃氣	06661.HK	跌穿上市價	2022/07/13	500	8.13-12.63	6.08	6.080	7.1	12手	15.0%	5.000	-7.900%	-17.763%
諾亞控股	06686.HK	跌穿上市價	2022/07/13	20	3.69-9.17	292	292.000	2.3	1手	100.0%	17.300	-4.450%	-94.075%
天齊鋰業	09696.HK	跌穿上市價	2022/07/13	200	303.95-1,456.58	82	82.000	8.3	1手	100.0%	29.400	0.000%	-64.146%
名創優品	09896.HK		2022/07/13	200	103.83-751.22	13.8	13.800	0.4	2手	86.9%	34.400	-3.040%	+149.275%
中康控股	02361.HK	跌穿上市價	2022/07/12	500	9.04-32.12	5.36	5.360	1.2	3手	50.0%	4.600	0.000%	-14.179%
